Acquaintance,Babysittee,Boyfriend or Girlfriend,Child of Boyfriend or Girlfriend,Child,Common Law Spouse,Employee,Employer,Friend,Grandchild,Grandparent,Homosexual Relationship,In-Law,Neighbor,Other Family Member,Otherwise Known,Parent,Sibling,Stepchild,Spouse,Stepparent,Stepsibling,Stranger,Offender,Ex-Spouse
833,10,182,21,133,8,2,6,86,7,3,10,16,39,48,310,49,39,20,154,12,1,867,12,21
836,11,173,27,148,16,1,1,113,4,10,6,10,24,68,278,61,39,17,153,10,5,670,9,21
910,6,177,22,163,13,3,3,95,4,5,2,16,40,85,331,66,45,26,202,9,1,572,18,16
868,7,209,32,124,16,1,6,114,8,7,6,20,26,63,252,88,45,24,199,9,3,555,19,16
901,12,204,31,148,19,1,3,124,8,16,6,23,44,73,297,70,42,13,183,16,4,565,19,22
936,8,205,27,141,12,2,5,134,3,13,8,16,31,67,328,71,38,11,171,13,0,625,20,16
940,10,194,25,147,9,0,1,147,9,15,7,20,27,56,321,80,47,10,197,10,2,553,10,14
907,9,198,25,183,14,5,1,130,8,10,9,16,41,83,378,95,37,19,192,10,0,573,13,15
1007,13,241,37,187,18,3,5,166,0,15,14,17,30,85,397,67,48,13,205,13,5,609,27,15
1073,15,255,24,156,9,0,4,190,2,15,17,23,58,83,496,93,53,19,200,12,0,769,14,23
1197,11,244,28,166,12,6,2,205,3,20,7,13,50,82,481,118,52,17,228,17,4,716,28,21
